iteration,max_change
1,0.3138374602487402
2,0.17852193368671376
3,0.11514995679874634
4,0.15514743327491043
5,0.17765803057434126
6,0.13005501109452822
7,0.07027745464594748
8,0.03351357877963301
9,0.015656949127407227
10,0.0074937686631069145
11,0.0037191028358839473
12,0.0019154225673672087
13,0.0010214752103334668
14,0.000562038150934363
15,0.00031756296678597806
16,0.0001832900571527296
17,0.00010752059556851101
18,6.382437319048945e-05
19,3.820402690857261e-05
20,2.299966943306725e-05
21,1.3899653103881249e-05
22,8.421372207911837e-06
23,5.110532792590439e-06
24,3.104490830074802e-06
25,1.8870393225789428e-06
26,1.147423957605087e-06
27,6.978240675303837e-07
